,ARS_BL,BL_name,ARS_KREIS,ARS_GEM_VERBAND,Personen [Anzahl],Fläche [qkm],Bevölkerungsdichte [Ew/qkm]
2866,14,Sachsen,26,110,54664,67.53,809.48
2867,14,Sachsen,26,180,5776,74.13,77.92
2868,14,Sachsen,26,245,7061,47.34,149.16
2869,14,Sachsen,26,250,3265,106.83,30.56
2870,14,Sachsen,26,280,3456,17.08,202.34
2871,14,Sachsen,26,300,3774,62.54,60.35
2872,14,Sachsen,26,310,3506,36.45,96.19
2873,14,Sachsen,26,370,9094,53.82,168.97
2874,14,Sachsen,26,390,4764,35.91,132.66
2875,14,Sachsen,26,420,2219,23.48,94.51
2876,14,Sachsen,26,530,3606,19.12,188.6
2877,14,Sachsen,26,610,25585,66.75,383.3
2878,14,Sachsen,26,5203,5188,30.12,172.24
2879,14,Sachsen,26,5206,4641,79.81,58.15
2880,14,Sachsen,26,5214,6758,36.78,183.74
2881,14,Sachsen,26,5220,19228,124.48,154.47
2882,14,Sachsen,26,5224,5111,42.72,119.64
2883,14,Sachsen,26,5227,9314,60.47,154.03
2884,14,Sachsen,26,5228,3342,14.45,231.28
2885,14,Sachsen,26,5232,7505,117.63,63.8
2886,14,Sachsen,26,5233,3306,104.84,31.53
2887,14,Sachsen,26,5235,5369,122.17000000000002,43.95
2888,14,Sachsen,26,5237,4320,89.12,48.47
2889,14,Sachsen,26,5242,16549,114.11,145.03
2890,14,Sachsen,26,5502,6348,164.99,38.48
2891,14,Sachsen,26,5503,7811,160.65,48.62
2892,14,Sachsen,27,10,20369,25.88,787.06
2893,14,Sachsen,27,20,3234,43.21,74.84
2894,14,Sachsen,27,30,4382,84.39,51.93
2895,14,Sachsen,27,50,6927,28.94,239.36
2896,14,Sachsen,27,60,18300,130.36,140.38
2897,14,Sachsen,27,70,1948,34.57,56.35
2898,14,Sachsen,27,80,2767,50.48,54.81
2899,14,Sachsen,27,100,10351,111.67,92.69
2900,14,Sachsen,27,130,4802,66.63,72.07
2901,14,Sachsen,27,140,28487,30.92,921.31
2902,14,Sachsen,27,150,8318,46.49,178.92
2903,14,Sachsen,27,170,4077,35.26,115.63
2904,14,Sachsen,27,180,10581,122.74,86.21
2905,14,Sachsen,27,200,3133,61.29,51.12
2906,14,Sachsen,27,210,33497,26.14,1281.45
2907,14,Sachsen,27,220,7325,54.02,135.6
2908,14,Sachsen,27,230,29434,58.91,499.64
2909,14,Sachsen,27,260,3097,32.48,95.35
2910,14,Sachsen,27,270,3643,30.28,120.31
2911,14,Sachsen,27,290,3719,74.48,49.93
2912,14,Sachsen,27,310,10697,19.02,562.41
2913,14,Sachsen,27,360,5472,81.62,67.04
